Afeganistão,Afeganistão
África do Sul,África do Sul
Albânia,Albânia
Alemanha,Alemanha
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antártida,Antártida
Antígua & Barbuda,Antígua & Barbuda
Arábia Saudita,Arábia Saudita
Argélia,Argélia
Argentina,Argentina
Armênia,Armênia
Aruba,Aruba
Austrália,Austrália
Áustria,Áustria
Azerbaijão,Azerbaijão
Bahamas,Bahamas
Bahrein,Bahrein
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Bélgica,Bélgica
Belize,Belize
Benin,Benin
Bermudas,Bermudas
Bolívia,Bolívia
"Bonaire, St. Eustatius & Saba","Bonaire, St. Eustatius & Saba"
Bósnia-Herzegovina,Bósnia-Herzegovina
Botsuana,Botsuana
Brasil,Brasil
Brunei,Brunei
Bulgária,Bulgária
Burkina Faso,Burkina Faso
Burundi,Burundi
Butão,Butão
Cabo Verde,Cabo Verde
Camarões,Camarões
Camboja,Camboja
Canadá,Canadá
Cazaquistão,Cazaquistão
Chade,Chade
Chile,Chile
China,China
Chipre,Chipre
Cingapura,Cingapura
Colômbia,Colômbia
Congo,Congo
Coréia do Norte,Coréia do Norte
Coréia do Sul,Coréia do Sul
Costa do Marfim,Costa do Marfim
Costa Rica,Costa Rica
Croácia,Croácia
Cuba,Cuba
Curaçao,Curaçao
Dinamarca,Dinamarca
Djibuti,Djibuti
Dominica,Dominica
Egito,Egito
El Salvador,El Salvador
Emirados Árabes Unidos,Emirados Árabes Unidos
Equador,Equador
Eritréia,Eritréia
Eslováquia,Eslováquia
Eslovênia,Eslovênia
Espanha,Espanha
Estados Unidos,Estados Unidos
Estônia,Estônia
Etiópia,Etiópia
Federação Russa,Federação Russa
Fiji,Fiji
Filipinas,Filipinas
Finlândia,Finlândia
França,França
Gabão,Gabão
Gâmbia,Gâmbia
Gana,Gana
Geórgia,Geórgia
Gibraltar,Gibraltar
Grã-Bretanha (Reino Unido),Grã-Bretanha (Reino Unido)
Granada,Granada
Grécia,Grécia
Groelândia,Groelândia
Guadalupe,Guadalupe
Guam (Território dos Estados Unidos),Guam (Território dos Estados Unidos)
Guatemala,Guatemala
G|Guernsey,G|Guernsey
Guiana,Guiana
Guiana Francesa,Guiana Francesa
Guiné,Guiné
Guiné Equatorial,Guiné Equatorial
Guiné-Bissau,Guiné-Bissau
Haiti,Haiti
Holanda,Holanda
Honduras,Honduras
Hong-Kong,Hong-Kong
Hungria,Hungria
Iêmen,Iêmen
Ilha Bouvet (Território da Noruega),Ilha Bouvet (Território da Noruega)
Ilha do Homem,Ilha do Homem
Ilha Natal,Ilha Natal
Ilha Pitcairn,Ilha Pitcairn
Ilha Reunião,Ilha Reunião
Ilhas Aland,Ilhas Aland
Ilhas Cayman,Ilhas Cayman
Ilhas Cocos,Ilhas Cocos
Ilhas Comores,Ilhas Comores
Ilhas Cook,Ilhas Cook
Ilhas Faroes,Ilhas Faroes
Ilhas Falkland (Malvinas),Ilhas Falkland (Malvinas)
Ilhas Geórgia do Sul e Sandwich do Sul,Ilhas Geórgia do Sul e Sandwich do Sul
Ilhas Heard e McDonald (Território da Austrália),Ilhas Heard e McDonald (Território da Austrália)
Ilhas Marianas do Norte,Ilhas Marianas do Norte
Ilhas Marshall,Ilhas Marshall
Ilhas Menores dos Estados Unidos,Ilhas Menores dos Estados Unidos
Ilhas Norfolk,Ilhas Norfolk
Ilhas Seychelles,Ilhas Seychelles
Ilhas Solomão,Ilhas Solomão
Ilhas Svalbard & Jan Mayen,Ilhas Svalbard & Jan Mayen
Ilhas Tokelau,Ilhas Tokelau
Ilhas Turks e Caicos,Ilhas Turks e Caicos
Ilhas Virgens (Estados Unidos),Ilhas Virgens (Estados Unidos)
Ilhas Virgens (Inglaterra),Ilhas Virgens (Inglaterra)
Ilhas Wallis & Futuna,Ilhas Wallis & Futuna
Índia,Índia
Indonésia,Indonésia
Irã,Irã
Iraque,Iraque
Irlanda,Irlanda
Islândia,Islândia
Israel,Israel
Itália,Itália
Jamaica,Jamaica
Japão,Japão
Jersey,Jersey
