name,value
Administração,Administração
Administração Pública,Administração Pública
Arquitetura e Urbanismo,Arquitetura e Urbanismo
Artes Cênicas,Artes Cênicas
Artes Visuais,Artes Visuais
Biblioteconomia,Biblioteconomia
Ciência da Computação,Ciência da Computação
Ciências Biológicas,Ciências Biológicas
Ciências do Esporte,Ciências do Esporte
Ciências Econômicas,Ciências Econômicas
Ciências Sociais,Ciências Sociais
Comunicação Social - Midialogia,Comunicação Social - Midialogia
Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas
Curso Superior de Tecnologia em Construção de Edifícios,Curso Superior de Tecnologia em Construção de Edifícios
Curso Superior de Tecnologia em Saneamento Ambiental,Curso Superior de Tecnologia em Saneamento Ambiental
Design,Design
Direito,Direito
Dança,Dança
Educação Física,Educação Física
Enfermagem,Enfermagem
Engenharia Agrícola,Engenharia Agrícola
Engenharia Ambiental,Engenharia Ambiental
Engenharia Civil,Engenharia Civil
Engenharia de Alimentos,Engenharia de Alimentos
Engenharia de Computação,Engenharia de Computação
Engenharia de Controle e Automação,Engenharia de Controle e Automação
Engenharia de Manufatura,Engenharia de Manufatura
Engenharia de Produção,Engenharia de Produção
Engenharia de Telecomunicações,Engenharia de Telecomunicações
Engenharia Elétrica,Engenharia Elétrica
Engenharia Física,Engenharia Física
Engenharia Mecânica,Engenharia Mecânica
Engenharia Química,Engenharia Química
Engenharia de Software,Engenharia de Software
Estatística,Estatística
Estudos Literários,Estudos Literários
Farmácia,Farmácia
Física,Física
Filosofia,Filosofia
Fisioterapia,Fisioterapia
Fonoaudiologia,Fonoaudiologia
Geologia,Geologia
Geografia,Geografia
História,História
Jornalismo,Jornalismo
Licenciatura em Ciências Biológicas,Licenciatura em Ciências Biológicas
Licenciatura em Letras,Licenciatura em Letras
Licenciatura Integrada Química/Física,Licenciatura Integrada Química/Física
Licenciatura em Física,Licenciatura em Física
Licenciatura em Matemática,Licenciatura em Matemática
Linguística,Linguística
Matemática,Matemática
Matemática Aplicada e Computacional,Matemática Aplicada e Computacional
Matemática/Física/Matemática Aplicada e Computacional,Matemática/Física/Matemática Aplicada e Computacional
Medicina,Medicina
Música,Música
Nutrição,Nutrição
Odontologia,Odontologia
Pedagogia,Pedagogia
Programa de Formação Interdisciplinar Superior - ProFIS,Programa de Formação Interdisciplinar Superior - ProFIS
Psicologia,Psicologia
Publicidade e Propaganda,Publicidade e Propaganda
Química,Química
Química Tecnológica,Química Tecnológica
Relações Internacionais,Relações Internacionais
Relações Públicas,Relações Públicas
Sistemas de Informação,Sistemas de Informação
Turismo,Turismo
Veterinária,Veterinária
