name,value
Unicamp,Unicamp
Unesp,Unesp
USP - SP,USP - SP
USP - SC,USP - SC
BCS,BCS
ESAMC,ESAMC
ETEC Bento Quirino,ETEC Bento Quirino
Faculdade Anhanguera,Faculdade Anhanguera
Faculdade Anhanguera - Campinas,Faculdade Anhanguera - Campinas
Faculdade das Américas/ Etec. Ext Presidente Roosevelt,Faculdade das Américas/ Etec. Ext Presidente Roosevelt
Faculdade de Hortolândia,Faculdade de Hortolândia
Faculdade Politecnica de Campinas,Faculdade Politecnica de Campinas
FATEC piracicaba,FATEC piracicaba
IFSP - Campinas,IFSP - Campinas
IFSP - SP,IFSP - SP
INATEL,INATEL
Instituto Brasileiro de Tecnologia Avançada,Instituto Brasileiro de Tecnologia Avançada
ITA,ITA
Metrocamp,Metrocamp
"O Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Campinas","O Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Campinas"
PUCCAMP,PUCCAMP
UESC,UESC
UNAR,UNAR
Unifal,Unifal
Unifal-MG,Unifal-MG
UNIFESP/SP,UNIFESP/SP
UNIMEP,UNIMEP
Uninter,Uninter
UNIP,UNIP
Unisal,Unisal
UNISAL,UNISAL
Universidade Federal de Alfenas,Universidade Federal de Alfenas
Universidade Federal de Itajubá,Universidade Federal de Itajubá
Universidade Paulista,Universidade Paulista
Universidade Presbiteriana Mackenzie,Universidade Presbiteriana Mackenzie
Universidade São Francisco,Universidade São Francisco
